"","unlist.a.","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"95","antuco","mapuche","sí","mujer",10,"2009",8302
"96","arauco","no pertenece a ningún pueblo indígena","no","hombre",557,"2009",8202
"97","arauco","no pertenece a ningún pueblo indígena","sí","mujer",13185,"2009",8202
"98","arauco","atacameño","sí","mujer",26,"2009",8202
"99","arauco","mapuche","no","hombre",56,"2009",8202
"100","arauco","no pertenece a ningún pueblo indígena","no","mujer",772,"2009",8202
"101","arauco","mapuche","sí","mujer",541,"2009",8202
"102","arauco","no pertenece a ningún pueblo indígena","sí","hombre",14441,"2009",8202
"103","arauco","mapuche","sí","hombre",478,"2009",8202
"104","arica","aymara","no","hombre",57,"2009",15101
"105","arica","no pertenece a ningún pueblo indígena","no","mujer",694,"2009",15101
"106","arica","aymara","sí","mujer",13753,"2009",15101
"107","arica","quechua","sí","hombre",230,"2009",15101
"108","arica","diaguita","sí","mujer",179,"2009",15101
"109","arica","no pertenece a ningún pueblo indígena","sí","hombre",44777,"2009",15101
"110","arica","no pertenece a ningún pueblo indígena","sí","mujer",54571,"2009",15101
"111","arica","diaguita","sí","hombre",99,"2009",15101
"112","arica","aymara","no","mujer",389,"2009",15101
"113","arica","mapuche","sí","hombre",2943,"2009",15101
"114","arica","no pertenece a ningún pueblo indígena","no","hombre",357,"2009",15101
"115","arica","aymara","sí","hombre",12257,"2009",15101
"116","arica","mapuche","sí","mujer",1440,"2009",15101
"117","arica","quechua","sí","mujer",300,"2009",15101
"118","aysén","no pertenece a ningún pueblo indígena","no","hombre",388,"2009",11201
"119","aysén","mapuche","no","hombre",71,"2009",11201
"120","aysén","no pertenece a ningún pueblo indígena","sí","hombre",6802,"2009",11201
"121","aysén","aymara","sí","mujer",6,"2009",11201
"122","aysén","no pertenece a ningún pueblo indígena","no","mujer",366,"2009",11201
"123","aysén","no pertenece a ningún pueblo indígena","sí","mujer",7427,"2009",11201
"124","aysén","mapuche","sí","mujer",1532,"2009",11201
"125","aysén","mapuche","sí","hombre",1416,"2009",11201
"126","aysén","mapuche","no","mujer",238,"2009",11201
"127","aysén","quechua","sí","hombre",19,"2009",11201
"128","aysén","yagán","sí","mujer",19,"2009",11201
"129","buin","mapuche","sí","hombre",275,"2009",13402
"130","buin","mapuche","sí","mujer",152,"2009",13402
"131","buin","no pertenece a ningún pueblo indígena","sí","hombre",28109,"2009",13402
"132","buin","no pertenece a ningún pueblo indígena","sí","mujer",29364,"2009",13402
"133","buin","mapuche","no","hombre",62,"2009",13402
"134","buin","no pertenece a ningún pueblo indígena","no","hombre",681,"2009",13402
"135","buin","no pertenece a ningún pueblo indígena","no","mujer",1027,"2009",13402
"136","bulnes","aymara","sí","hombre",28,"2009",16102
"137","bulnes","no pertenece a ningún pueblo indígena","no","mujer",481,"2009",16102
"138","bulnes","mapuche","no","hombre",70,"2009",16102
"139","bulnes","mapuche","sí","hombre",77,"2009",16102
"140","bulnes","no pertenece a ningún pueblo indígena","sí","mujer",8183,"2009",16102
"141","bulnes","mapuche","sí","mujer",197,"2009",16102
"142","bulnes","no pertenece a ningún pueblo indígena","no","hombre",604,"2009",16102
"143","bulnes","no pertenece a ningún pueblo indígena","sí","hombre",6916,"2009",16102
"144","cabildo","mapuche","sí","mujer",321,"2009",5402
"145","cabildo","diaguita","sí","hombre",38,"2009",5402
"146","cabildo","no pertenece a ningún pueblo indígena","no","mujer",655,"2009",5402
"147","cabildo","diaguita","no","hombre",38,"2009",5402
"148","cabildo","no pertenece a ningún pueblo indígena","sí","mujer",7033,"2009",5402
"149","cabildo","diaguita","sí","mujer",48,"2009",5402
"150","cabildo","no pertenece a ningún pueblo indígena","sí","hombre",7084,"2009",5402
"151","cabildo","mapuche","sí","hombre",139,"2009",5402
"152","cabildo","no pertenece a ningún pueblo indígena","no","hombre",936,"2009",5402
"153","cabo de hornos","mapuche","no","hombre",8,"2009",12201
"154","cabo de hornos","yagán","sí","mujer",46,"2009",12201
"155","cabo de hornos","mapuche","sí","hombre",30,"2009",12201
"156","cabo de hornos","no pertenece a ningún pueblo indígena","sí","hombre",572,"2009",12201
"157","cabo de hornos","yagán","sí","hombre",24,"2009",12201
"158","cabo de hornos","mapuche","sí","mujer",38,"2009",12201
"159","cabo de hornos","no pertenece a ningún pueblo indígena","sí","mujer",532,"2009",12201
"160","cabo de hornos","no pertenece a ningún pueblo indígena","no","mujer",6,"2009",12201
"161","cabrero","mapuche","sí","mujer",295,"2009",8303
"162","cabrero","no pertenece a ningún pueblo indígena","no","mujer",830,"2009",8303
"163","cabrero","no pertenece a ningún pueblo indígena","no","hombre",704,"2009",8303
"164","cabrero","no pertenece a ningún pueblo indígena","sí","hombre",10127,"2009",8303
"165","cabrero","no pertenece a ningún pueblo indígena","sí","mujer",9839,"2009",8303
"166","cabrero","mapuche","sí","hombre",385,"2009",8303
"167","calama","diaguita","sí","hombre",237,"2009",2201
"168","calama","aymara","sí","hombre",330,"2009",2201
"169","calama","no pertenece a ningún pueblo indígena","sí","mujer",47154,"2009",2201
"170","calama","no pertenece a ningún pueblo indígena","no","mujer",637,"2009",2201
"171","calama","atacameño","sí","hombre",4912,"2009",2201
"172","calama","diaguita","no","hombre",4,"2009",2201
"173","calama","quechua","sí","hombre",687,"2009",2201
"174","calama","quechua","sí","mujer",1334,"2009",2201
"175","calama","aymara","sí","mujer",346,"2009",2201
"176","calama","atacameño","sí","mujer",5360,"2009",2201
"177","calama","mapuche","sí","mujer",180,"2009",2201
"178","calama","no pertenece a ningún pueblo indígena","sí","hombre",42989,"2009",2201
"179","calama","coya","sí","mujer",154,"2009",2201
"180","calama","mapuche","sí","hombre",371,"2009",2201
"181","calama","no pertenece a ningún pueblo indígena","no","hombre",473,"2009",2201
"182","calama","atacameño","no","hombre",11,"2009",2201
"183","calama","atacameño","no","mujer",49,"2009",2201
"184","calbuco","mapuche","sí","hombre",3132,"2009",10102
"185","calbuco","mapuche","no","mujer",426,"2009",10102
"186","calbuco","no pertenece a ningún pueblo indígena","sí","hombre",8448,"2009",10102
"187","calbuco","no pertenece a ningún pueblo indígena","no","mujer",1215,"2009",10102
"188","calbuco","mapuche","no","hombre",633,"2009",10102
"189","calbuco","no pertenece a ningún pueblo indígena","no","hombre",751,"2009",10102
"190","calbuco","mapuche","sí","mujer",4056,"2009",10102
"191","calbuco","no pertenece a ningún pueblo indígena","sí","mujer",7846,"2009",10102
"192","caldera","atacameño","sí","mujer",26,"2009",3102
"193","caldera","no pertenece a ningún pueblo indígena","sí","hombre",5096,"2009",3102
"194","caldera","yagán","sí","hombre",170,"2009",3102
"195","caldera","no pertenece a ningún pueblo indígena","no","hombre",76,"2009",3102
"196","caldera","mapuche","sí","mujer",106,"2009",3102
"197","caldera","yagán","sí","mujer",85,"2009",3102
"198","caldera","no pertenece a ningún pueblo indígena","sí","mujer",5850,"2009",3102
"199","caldera","diaguita","sí","mujer",12,"2009",3102
"200","caldera","no pertenece a ningún pueblo indígena","no","mujer",144,"2009",3102
"201","caldera","mapuche","sí","hombre",50,"2009",3102
"202","calera de tango","no pertenece a ningún pueblo indígena","no","hombre",494,"2009",13403
"203","calera de tango","no pertenece a ningún pueblo indígena","no","mujer",232,"2009",13403
"204","calera de tango","mapuche","sí","mujer",123,"2009",13403
"205","calera de tango","no pertenece a ningún pueblo indígena","sí","hombre",9382,"2009",13403
"206","calera de tango","no pertenece a ningún pueblo indígena","sí","mujer",9703,"2009",13403
"207","calera de tango","mapuche","sí","hombre",66,"2009",13403
"208","calle larga","no pertenece a ningún pueblo indígena","sí","mujer",3778,"2009",5302
"209","calle larga","mapuche","sí","mujer",10,"2009",5302
"210","calle larga","no pertenece a ningún pueblo indígena","no","mujer",105,"2009",5302
"211","calle larga","no pertenece a ningún pueblo indígena","sí","hombre",3752,"2009",5302
"212","calle larga","aymara","sí","mujer",44,"2009",5302
"213","calle larga","no pertenece a ningún pueblo indígena","no","hombre",212,"2009",5302
"214","calle larga","mapuche","no","hombre",10,"2009",5302
"215","calle larga","mapuche","sí","hombre",31,"2009",5302
"216","camarones","no pertenece a ningún pueblo indígena","sí","mujer",96,"2009",15102
"217","camarones","aymara","sí","hombre",355,"2009",15102
"218","camarones","aymara","sí","mujer",387,"2009",15102
"219","camarones","mapuche","sí","mujer",3,"2009",15102
"220","camarones","coya","sí","mujer",3,"2009",15102
"221","camarones","aymara","no","hombre",43,"2009",15102
"222","camarones","no pertenece a ningún pueblo indígena","sí","hombre",128,"2009",15102
"223","camarones","aymara","no","mujer",50,"2009",15102
"224","camarones","no pertenece a ningún pueblo indígena","no","mujer",13,"2009",15102
"225","camarones","diaguita","sí","hombre",6,"2009",15102
"226","camiña","no pertenece a ningún pueblo indígena","sí","mujer",66,"2009",1402
"227","camiña","quechua","sí","mujer",3,"2009",1402
"228","camiña","aymara","sí","mujer",231,"2009",1402
"229","camiña","no pertenece a ningún pueblo indígena","no","mujer",20,"2009",1402
"230","camiña","aymara","sí","hombre",245,"2009",1402
"231","camiña","mapuche","sí","hombre",3,"2009",1402
"232","camiña","mapuche","sí","mujer",5,"2009",1402
"233","camiña","quechua","sí","hombre",3,"2009",1402
"234","camiña","aymara","no","hombre",24,"2009",1402
"235","camiña","no pertenece a ningún pueblo indígena","sí","hombre",81,"2009",1402
"236","camiña","no pertenece a ningún pueblo indígena","no","hombre",5,"2009",1402
"237","camiña","aymara","no","mujer",51,"2009",1402
"238","canela","no pertenece a ningún pueblo indígena","sí","hombre",2803,"2009",4202
"239","canela","no pertenece a ningún pueblo indígena","sí","mujer",2786,"2009",4202
"240","canela","no pertenece a ningún pueblo indígena","no","mujer",381,"2009",4202
"241","canela","diaguita","no","hombre",7,"2009",4202
"242","canela","no pertenece a ningún pueblo indígena","no","hombre",333,"2009",4202
"243","canela","mapuche","sí","mujer",10,"2009",4202
"244","cañete","mapuche","no","mujer",502,"2009",8203
"245","cañete","mapuche","no","hombre",278,"2009",8203
"246","cañete","no pertenece a ningún pueblo indígena","sí","mujer",8695,"2009",8203
"247","cañete","no pertenece a ningún pueblo indígena","sí","hombre",9170,"2009",8203
"248","cañete","mapuche","sí","mujer",2074,"2009",8203
"249","cañete","no pertenece a ningún pueblo indígena","no","hombre",818,"2009",8203
"250","cañete","no pertenece a ningún pueblo indígena","no","mujer",1597,"2009",8203
"251","cañete","mapuche","sí","hombre",2081,"2009",8203
"252","carahue","no pertenece a ningún pueblo indígena","no","hombre",314,"2009",9102
"253","carahue","mapuche","sí","mujer",2488,"2009",9102
"254","carahue","no pertenece a ningún pueblo indígena","sí","hombre",5224,"2009",9102
"255","carahue","mapuche","sí","hombre",2697,"2009",9102
"256","carahue","mapuche","no","hombre",530,"2009",9102
"257","carahue","no pertenece a ningún pueblo indígena","sí","mujer",6614,"2009",9102
"258","carahue","no pertenece a ningún pueblo indígena","no","mujer",549,"2009",9102
"259","carahue","mapuche","no","mujer",780,"2009",9102
"260","cartagena","no pertenece a ningún pueblo indígena","no","hombre",755,"2009",5603
"261","cartagena","no pertenece a ningún pueblo indígena","sí","mujer",9656,"2009",5603
"262","cartagena","mapuche","sí","mujer",248,"2009",5603
"263","cartagena","mapuche","sí","hombre",118,"2009",5603
"264","cartagena","no pertenece a ningún pueblo indígena","no","mujer",421,"2009",5603
"265","cartagena","no pertenece a ningún pueblo indígena","sí","hombre",8037,"2009",5603
"266","casablanca","no pertenece a ningún pueblo indígena","sí","mujer",9237,"2009",5102
"267","casablanca","no pertenece a ningún pueblo indígena","sí","hombre",10070,"2009",5102
"268","casablanca","no pertenece a ningún pueblo indígena","no","mujer",221,"2009",5102
"269","casablanca","mapuche","sí","mujer",154,"2009",5102
"270","casablanca","mapuche","sí","hombre",299,"2009",5102
"271","casablanca","no pertenece a ningún pueblo indígena","no","hombre",245,"2009",5102
"272","castro","no pertenece a ningún pueblo indígena","no","hombre",260,"2009",10201
"273","castro","mapuche","sí","mujer",2665,"2009",10201
"274","castro","no pertenece a ningún pueblo indígena","no","mujer",660,"2009",10201
"275","castro","rapa nui ","sí","mujer",110,"2009",10201
"276","castro","mapuche","no","mujer",140,"2009",10201
"277","castro","mapuche","no","hombre",87,"2009",10201
"278","castro","no pertenece a ningún pueblo indígena","sí","mujer",16529,"2009",10201
"279","castro","mapuche","sí","hombre",2164,"2009",10201
"280","castro","no pertenece a ningún pueblo indígena","sí","hombre",15862,"2009",10201
"281","catemu","no pertenece a ningún pueblo indígena","sí","mujer",5279,"2009",5702
"282","catemu","no pertenece a ningún pueblo indígena","sí","hombre",4754,"2009",5702
"283","catemu","no pertenece a ningún pueblo indígena","no","mujer",177,"2009",5702
"284","catemu","mapuche","sí","mujer",134,"2009",5702
"285","catemu","no pertenece a ningún pueblo indígena","no","hombre",283,"2009",5702
"286","catemu","mapuche","sí","hombre",125,"2009",5702
"287","cauquenes","no pertenece a ningún pueblo indígena","no","hombre",1587,"2009",7201
"288","cauquenes","no pertenece a ningún pueblo indígena","sí","mujer",16612,"2009",7201
"289","cauquenes","mapuche","no","mujer",53,"2009",7201
"290","cauquenes","no pertenece a ningún pueblo indígena","sí","hombre",13621,"2009",7201
"291","cauquenes","mapuche","sí","hombre",93,"2009",7201
"292","cauquenes","mapuche","sí","mujer",144,"2009",7201
"293","cauquenes","mapuche","no","hombre",57,"2009",7201
"294","cauquenes","no pertenece a ningún pueblo indígena","no","mujer",1488,"2009",7201
"295","cerrillos","aymara","sí","mujer",54,"2009",13102
"296","cerrillos","no pertenece a ningún pueblo indígena","no","hombre",526,"2009",13102
"297","cerrillos","no pertenece a ningún pueblo indígena","sí","hombre",24098,"2009",13102
"298","cerrillos","mapuche","sí","mujer",2691,"2009",13102
"299","cerrillos","no pertenece a ningún pueblo indígena","sí","mujer",24900,"2009",13102
"300","cerrillos","mapuche","no","hombre",75,"2009",13102
"301","cerrillos","atacameño","sí","hombre",73,"2009",13102
"302","cerrillos","no pertenece a ningún pueblo indígena","no","mujer",571,"2009",13102
"303","cerrillos","mapuche","sí","hombre",1219,"2009",13102
"304","cerro navia","no pertenece a ningún pueblo indígena","sí","hombre",47726,"2009",13103
"305","cerro navia","mapuche","no","mujer",399,"2009",13103
"306","cerro navia","no pertenece a ningún pueblo indígena","no","mujer",767,"2009",13103
"307","cerro navia","no pertenece a ningún pueblo indígena","sí","mujer",49382,"2009",13103
"308","cerro navia","no pertenece a ningún pueblo indígena","no","hombre",1138,"2009",13103
"309","cerro navia","mapuche","sí","mujer",3869,"2009",13103
"310","cerro navia","mapuche","sí","hombre",3248,"2009",13103
"311","chanco","no pertenece a ningún pueblo indígena","sí","mujer",3260,"2009",7202
"312","chanco","no pertenece a ningún pueblo indígena","no","hombre",442,"2009",7202
"313","chanco","mapuche","sí","hombre",40,"2009",7202
"314","chanco","no pertenece a ningún pueblo indígena","no","mujer",353,"2009",7202
"315","chanco","no pertenece a ningún pueblo indígena","sí","hombre",3084,"2009",7202
"316","chanco","mapuche","sí","mujer",62,"2009",7202
"317","chañaral","aymara","sí","mujer",18,"2009",3201
"318","chañaral","coya","sí","hombre",79,"2009",3201
"319","chañaral","diaguita","sí","hombre",35,"2009",3201
"320","chañaral","mapuche","sí","mujer",24,"2009",3201
"321","chañaral","coya","sí","mujer",4,"2009",3201
"322","chañaral","no pertenece a ningún pueblo indígena","no","hombre",155,"2009",3201
"323","chañaral","no pertenece a ningún pueblo indígena","sí","mujer",4452,"2009",3201
"324","chañaral","diaguita","sí","mujer",70,"2009",3201
"325","chañaral","no pertenece a ningún pueblo indígena","sí","hombre",4348,"2009",3201
"326","chañaral","no pertenece a ningún pueblo indígena","no","mujer",181,"2009",3201
"327","chépica","no pertenece a ningún pueblo indígena","no","mujer",430,"2009",6302
"328","chépica","no pertenece a ningún pueblo indígena","no","hombre",455,"2009",6302
"329","chépica","no pertenece a ningún pueblo indígena","sí","mujer",5149,"2009",6302
"330","chépica","mapuche","sí","mujer",109,"2009",6302
"331","chépica","no pertenece a ningún pueblo indígena","sí","hombre",4613,"2009",6302
"332","chépica","mapuche","sí","hombre",55,"2009",6302
"333","chiguayante","no pertenece a ningún pueblo indígena","no","hombre",544,"2009",8103
"334","chiguayante","mapuche","sí","mujer",1775,"2009",8103
"335","chiguayante","no pertenece a ningún pueblo indígena","sí","mujer",44092,"2009",8103
"336","chiguayante","mapuche","no","mujer",107,"2009",8103
"337","chiguayante","mapuche","sí","hombre",899,"2009",8103
"338","chiguayante","no pertenece a ningún pueblo indígena","no","mujer",1043,"2009",8103
"339","chiguayante","mapuche","no","hombre",107,"2009",8103
"340","chiguayante","no pertenece a ningún pueblo indígena","sí","hombre",39990,"2009",8103
"341","chile chico","no pertenece a ningún pueblo indígena","no","mujer",79,"2009",11401
"342","chile chico","atacameño","sí","hombre",22,"2009",11401
"343","chile chico","mapuche","no","hombre",32,"2009",11401
"344","chile chico","no pertenece a ningún pueblo indígena","sí","mujer",1521,"2009",11401
"345","chile chico","no pertenece a ningún pueblo indígena","sí","hombre",1579,"2009",11401
"346","chile chico","mapuche","sí","hombre",373,"2009",11401
"347","chile chico","atacameño","sí","mujer",11,"2009",11401
"348","chile chico","mapuche","sí","mujer",325,"2009",11401
"349","chile chico","no pertenece a ningún pueblo indígena","no","hombre",71,"2009",11401
"350","chillán","no pertenece a ningún pueblo indígena","sí","mujer",69274,"2009",16101
"351","chillán","mapuche","no","mujer",71,"2009",16101
"352","chillán","no pertenece a ningún pueblo indígena","no","hombre",3276,"2009",16101
"353","chillán","mapuche","sí","hombre",2967,"2009",16101
"354","chillán","mapuche","sí","mujer",1815,"2009",16101
"355","chillán","no pertenece a ningún pueblo indígena","sí","hombre",55959,"2009",16101
"356","chillán","no pertenece a ningún pueblo indígena","no","mujer",2711,"2009",16101
"357","chillán viejo","no pertenece a ningún pueblo indígena","no","hombre",469,"2009",16103
"358","chillán viejo","no pertenece a ningún pueblo indígena","sí","mujer",11153,"2009",16103
"359","chillán viejo","mapuche","sí","mujer",191,"2009",16103
"360","chillán viejo","no pertenece a ningún pueblo indígena","no","mujer",607,"2009",16103
"361","chillán viejo","no pertenece a ningún pueblo indígena","sí","hombre",9926,"2009",16103
"362","chillán viejo","mapuche","sí","hombre",183,"2009",16103
"363","chimbarongo","no pertenece a ningún pueblo indígena","sí","mujer",12578,"2009",6303
"364","chimbarongo","no pertenece a ningún pueblo indígena","sí","hombre",12233,"2009",6303
"365","chimbarongo","no pertenece a ningún pueblo indígena","no","mujer",848,"2009",6303
"366","chimbarongo","mapuche","sí","mujer",102,"2009",6303
"367","chimbarongo","mapuche","sí","hombre",102,"2009",6303
"368","chimbarongo","no pertenece a ningún pueblo indígena","no","hombre",1397,"2009",6303
"369","cholchol","mapuche","sí","mujer",2545,"2009",9121
"370","cholchol","no pertenece a ningún pueblo indígena","no","mujer",134,"2009",9121
"371","cholchol","mapuche","sí","hombre",2960,"2009",9121
"372","cholchol","no pertenece a ningún pueblo indígena","sí","hombre",1054,"2009",9121
"373","cholchol","rapa nui ","sí","hombre",19,"2009",9121
"374","cholchol","mapuche","no","mujer",338,"2009",9121
"375","cholchol","mapuche","no","hombre",309,"2009",9121
"376","cholchol","no pertenece a ningún pueblo indígena","sí","mujer",1156,"2009",9121
"377","cholchol","no pertenece a ningún pueblo indígena","no","hombre",108,"2009",9121
"378","chonchi","mapuche","sí","hombre",1213,"2009",10203
"379","chonchi","rapa nui ","sí","hombre",20,"2009",10203
"380","chonchi","no pertenece a ningún pueblo indígena","sí","mujer",3924,"2009",10203
"381","chonchi","no pertenece a ningún pueblo indígena","sí","hombre",4068,"2009",10203
"382","chonchi","mapuche","no","hombre",12,"2009",10203
"383","chonchi","mapuche","sí","mujer",1693,"2009",10203
"384","chonchi","no pertenece a ningún pueblo indígena","no","mujer",378,"2009",10203
"385","chonchi","mapuche","no","mujer",77,"2009",10203
"386","chonchi","no pertenece a ningún pueblo indígena","no","hombre",86,"2009",10203
"387","chonchi","atacameño","sí","hombre",19,"2009",10203
"388","cisnes","mapuche","sí","hombre",399,"2009",11202
"389","cisnes","no pertenece a ningún pueblo indígena","sí","mujer",1343,"2009",11202
"390","cisnes","mapuche","no","mujer",45,"2009",11202
"391","cisnes","no pertenece a ningún pueblo indígena","no","mujer",119,"2009",11202
"392","cisnes","mapuche","sí","mujer",327,"2009",11202
"393","cisnes","quechua","sí","mujer",8,"2009",11202
"394","cisnes","mapuche","no","hombre",37,"2009",11202
"395","cisnes","no pertenece a ningún pueblo indígena","sí","hombre",1488,"2009",11202
"396","cisnes","aymara","sí","mujer",18,"2009",11202
"397","cisnes","aymara","sí","hombre",9,"2009",11202
"398","cisnes","no pertenece a ningún pueblo indígena","no","hombre",110,"2009",11202
"399","cobquecura","mapuche","sí","hombre",130,"2009",16202
"400","cobquecura","no pertenece a ningún pueblo indígena","sí","mujer",1788,"2009",16202
"401","cobquecura","no pertenece a ningún pueblo indígena","no","hombre",242,"2009",16202
"402","cobquecura","mapuche","no","hombre",7,"2009",16202
"403","cobquecura","no pertenece a ningún pueblo indígena","sí","hombre",1560,"2009",16202
"404","cobquecura","no pertenece a ningún pueblo indígena","no","mujer",185,"2009",16202
"405","cobquecura","mapuche","sí","mujer",101,"2009",16202
"406","cochamó","mapuche","sí","mujer",60,"2009",10103
