"","Group.1","Group.2","Group.3","Group.4","mean.dataset2006_final$ytotaj"
"207","curicó ","sí","mapuche ","hombre",197492
"208","hualañé ","sí","mapuche ","hombre",63181.5
"209","licantén ","sí","mapuche ","hombre",354357.083333333
"210","molina ","sí","mapuche ","hombre",148418
"211","rauco ","sí","mapuche ","hombre",252500
"212","romeral ","sí","mapuche ","hombre",1067443
"213","sagrada familia ","sí","mapuche ","hombre",208203
"214","vichuquén ","sí","mapuche ","hombre",136961.75
"215","linares ","sí","mapuche ","hombre",130507.666666667
"216","colbún ","sí","mapuche ","hombre",NA
"217","longaví ","sí","mapuche ","hombre",109980
"218","parral ","sí","mapuche ","hombre",206180.666666667
"219","retiro ","sí","mapuche ","hombre",NA
"220","san javier ","sí","mapuche ","hombre",95993.3333333333
"221","villa alegre ","sí","mapuche ","hombre",163111.25
"222","yerbas buenas ","sí","mapuche ","hombre",4126
"223","concepción ","sí","mapuche ","hombre",478727.666666667
"224","coronel ","sí","mapuche ","hombre",275113.75
"225","chiguayante ","sí","mapuche ","hombre",181959.666666667
"226","florida ","sí","mapuche ","hombre",115400.8
"227","hualqui ","sí","mapuche ","hombre",152754.25
"228","lota ","sí","mapuche ","hombre",250268.333333333
"229","penco ","sí","mapuche ","hombre",161462.428571429
"230","san pedro de la paz ","sí","mapuche ","hombre",194497.636363636
"231","santa juana ","sí","mapuche ","hombre",257547.166666667
"232","talcahuano ","sí","mapuche ","hombre",321548.583333333
"233","tomé ","sí","mapuche ","hombre",173105.692307692
"234","hualpén ","sí","mapuche ","hombre",308671
"235","lebu ","sí","mapuche ","hombre",110515.214285714
"236","arauco ","sí","mapuche ","hombre",396141.2
"237","cañete ","sí","mapuche ","hombre",117508.057142857
"238","contulmo ","sí","mapuche ","hombre",118534.535714286
"239","curanilahue ","sí","mapuche ","hombre",218706.625
"240","los alamos ","sí","mapuche ","hombre",155121.56
"241","tirúa ","sí","mapuche ","hombre",144954.5
"242","los angeles ","sí","mapuche ","hombre",298964.333333333
"243","antuco ","sí","mapuche ","hombre",71226.1666666667
"244","cabrero ","sí","mapuche ","hombre",218407.333333333
"245","laja ","sí","mapuche ","hombre",292981.5
"246","mulchén ","sí","mapuche ","hombre",136350
"247","negrete ","sí","mapuche ","hombre",224091
"248","quilaco ","sí","mapuche ","hombre",117980.25
"249","quilleco","sí","mapuche ","hombre",4126
"250","san rosendo ","sí","mapuche ","hombre",106368
"251","santa bárbara ","sí","mapuche ","hombre",176455
"252","tucapel","sí","mapuche ","hombre",179671
"253","yumbel ","sí","mapuche ","hombre",361075
"254","alto bío bío ","sí","mapuche ","hombre",158030.465753425
"255","chillán ","sí","mapuche ","hombre",75486
"256","bulnes ","sí","mapuche ","hombre",170358.5
"257","cobquecura ","sí","mapuche ","hombre",76029.1666666667
"258","coelemu ","sí","mapuche ","hombre",259726.75
"259","coihueco ","sí","mapuche ","hombre",73179
"260","chillán viejo ","sí","mapuche ","hombre",630402.5
"261","el carmen ","sí","mapuche ","hombre",187946
"262","Ñiquén ","sí","mapuche ","hombre",210137
"263","pemuco ","sí","mapuche ","hombre",187756
"264","pinto ","sí","mapuche ","hombre",NA
"265","portezuelo ","sí","mapuche ","hombre",354588
"266","quillón ","sí","mapuche ","hombre",4126
"267","ránquil ","sí","mapuche ","hombre",NA
"268","san carlos ","sí","mapuche ","hombre",252500
"269","san fabián ","sí","mapuche ","hombre",97988.2
"270","san ignacio ","sí","mapuche ","hombre",54068.6666666667
"271","san nicolás ","sí","mapuche ","hombre",109957
"272","trehuaco ","sí","mapuche ","hombre",113983
"273","yungay ","sí","mapuche ","hombre",139092.333333333
"274","temuco ","sí","mapuche ","hombre",290590.659574468
"275","carahue ","sí","mapuche ","hombre",150595.243243243
"276","cunco ","sí","mapuche ","hombre",284042.925373134
"277","curarrehue ","sí","mapuche ","hombre",186446.75
"278","freire ","sí","mapuche ","hombre",171888.625
"279","galvarino ","sí","mapuche ","hombre",139702.333333333
"280","gorbea ","sí","mapuche ","hombre",124389.68
"281","lautaro ","sí","mapuche ","hombre",175633.594594595
"282","loncoche ","sí","mapuche ","hombre",175944.270833333
"283","melipeuco ","sí","mapuche ","hombre",135913.590909091
"284","nueva imperial ","sí","mapuche ","hombre",181796.196078431
"285","padre las casas ","sí","mapuche ","hombre",211617.816091954
"286","perquenco ","sí","mapuche ","hombre",173986.52688172
"287","pitrufquén ","sí","mapuche ","hombre",214174.531914894
"288","pucón ","sí","mapuche ","hombre",171755.64516129
"289","saavedra ","sí","mapuche ","hombre",136809.754385965
"290","teodoro schimdt ","sí","mapuche ","hombre",238531.919642857
"291","toltén ","sí","mapuche ","hombre",120348.15625
"292","vilcún ","sí","mapuche ","hombre",174863.928571429
"293","villarrica ","sí","mapuche ","hombre",228236.553846154
"294","cholchol ","sí","mapuche ","hombre",207848.475806452
"295","angol ","sí","mapuche ","hombre",199693.4
"296","collipulli ","sí","mapuche ","hombre",155914.380952381
"297","curacautín ","sí","mapuche ","hombre",197412.625
"298","ercilla ","sí","mapuche ","hombre",115905.935483871
"299","lonquimay ","sí","mapuche ","hombre",227723.280701754
"300","los sauces ","sí","mapuche ","hombre",120421.216216216
"301","lumaco ","sí","mapuche ","hombre",163943.262295082
"302","purén ","sí","mapuche ","hombre",127760.260869565
"303","renaico ","sí","mapuche ","hombre",153320.8
"304","traiguén ","sí","mapuche ","hombre",131306.942857143
"305","victoria ","sí","mapuche ","hombre",202944.033333333
"306","puerto montt ","sí","mapuche ","hombre",399854.363636364
"307","calbuco ","sí","mapuche ","hombre",257127.285714286
"308","cochamó ","sí","mapuche ","hombre",254291.285714286
"309","fresia ","sí","mapuche ","hombre",201978.590909091
"310","frutillar ","sí","mapuche ","hombre",198125.945945946
"311","los muermos ","sí","mapuche ","hombre",129482.583333333
"312","llanquihue ","sí","mapuche ","hombre",220480.071428571
"313","maullín ","sí","mapuche ","hombre",253413.538461538
"314","puerto varas ","sí","mapuche ","hombre",221797.387096774
"315","castro ","sí","mapuche ","hombre",219142.210526316
"316","ancud ","sí","mapuche ","hombre",425631.75
"317","chonchi ","sí","mapuche ","hombre",221265
"318","curaco de vélez ","sí","mapuche ","hombre",251740.761904762
"319","dalcahue ","sí","mapuche ","hombre",250379.692307692
"320","puqueldón ","sí","mapuche ","hombre",220949.342105263
"321","queilén ","sí","mapuche ","hombre",204792.311688312
"322","quellón ","sí","mapuche ","hombre",244296.396825397
"323","quemchi ","sí","mapuche ","hombre",257456.268292683
"324","quinchao ","sí","mapuche ","hombre",282230.589285714
"325","osorno ","sí","mapuche ","hombre",187374.623188406
"326","puerto octay ","sí","mapuche ","hombre",250511.827586207
"327","purranque ","sí","mapuche ","hombre",221317.578947368
"328","puyehue ","sí","mapuche ","hombre",192805.333333333
"329","río negro ","sí","mapuche ","hombre",182107.985074627
"330","san juan de la costa ","sí","mapuche ","hombre",209613.780141844
"331","san pablo ","sí","mapuche ","hombre",318837.85
"332","chaitén ","sí","mapuche ","hombre",309735.114285714
"333","futaleufú ","sí","mapuche ","hombre",248290.142857143
"334","hualaihué ","sí","mapuche ","hombre",382190.19047619
"335","palena ","sí","mapuche ","hombre",185609.083333333
"336","valdivia ","sí","mapuche ","hombre",386937.785714286
"337","corral ","sí","mapuche ","hombre",198650.68
"338","futrono ","sí","mapuche ","hombre",259260.388888889
"339","la unión ","sí","mapuche ","hombre",180791.384615385
"340","lago ranco ","sí","mapuche ","hombre",141245.735849057
"341","lanco ","sí","mapuche ","hombre",167288.511111111
"342","los lagos ","sí","mapuche ","hombre",110330.142857143
"343","máfil ","sí","mapuche ","hombre",186662.894736842
"344","mariquina ","sí","mapuche ","hombre",181337.475409836
"345","paillaco ","sí","mapuche ","hombre",263106.333333333
"346","panguipulli ","sí","mapuche ","hombre",142834.588235294
"347","río bueno ","sí","mapuche ","hombre",282317.075
"348","coyhaique ","sí","mapuche ","hombre",250519.608695652
"349","aisén ","sí","mapuche ","hombre",321410.933333333
"350","cisnes ","sí","mapuche ","hombre",231618.217391304
"351","cochrane ","sí","mapuche ","hombre",279863.4
"352","chile chico ","sí","mapuche ","hombre",853599.384615385
"353","río ibáñez ","sí","mapuche ","hombre",250621.5
"354","punta arenas ","sí","mapuche ","hombre",234321.64
"355","san gregorio ","sí","mapuche ","hombre",365738
"356","cabo de hornos ","sí","mapuche ","hombre",574709.285714286
"357","porvenir ","sí","mapuche ","hombre",279370.723404255
"358","primavera ","sí","mapuche ","hombre",296137.166666667
"359","natales ","sí","mapuche ","hombre",183749.133333333
"360","santiago ","sí","mapuche ","hombre",291025.142857143
"361","cerrillos ","sí","mapuche ","hombre",308263.846153846
"362","cerro navia ","sí","mapuche ","hombre",197748.172413793
"363","conchalí ","sí","mapuche ","hombre",330339.727272727
"364","el bosque ","sí","mapuche ","hombre",262836.75
"365","estación central ","sí","mapuche ","hombre",330465.619047619
"366","huechuraba ","sí","mapuche ","hombre",251421.375
"367","independencia ","sí","mapuche ","hombre",384442.714285714
"368","la cisterna ","sí","mapuche ","hombre",202000
"369","la florida ","sí","mapuche ","hombre",348717.764705882
"370","la granja ","sí","mapuche ","hombre",169797.222222222
"371","la pintana ","sí","mapuche ","hombre",237648.214285714
"372","la reina ","sí","mapuche ","hombre",197388.714285714
"373","las condes ","sí","mapuche ","hombre",1396785
"374","lo barnechea ","sí","mapuche ","hombre",645548
"375","lo espejo ","sí","mapuche ","hombre",301522.333333333
"376","lo prado ","sí","mapuche ","hombre",318900.25
"377","macul ","sí","mapuche ","hombre",191881.076923077
"378","maipú ","sí","mapuche ","hombre",382488.166666667
"379","Ñuñoa ","sí","mapuche ","hombre",297106.2
"380","pedro aguirre cerda ","sí","mapuche ","hombre",222854.333333333
"381","peñalolén ","sí","mapuche ","hombre",240616.384615385
"382","providencia ","sí","mapuche ","hombre",106341.5
"383","pudahuel ","sí","mapuche ","hombre",244822.071428571
"384","quilicura ","sí","mapuche ","hombre",232224.272727273
"385","quinta normal ","sí","mapuche ","hombre",161182.5
"386","recoleta ","sí","mapuche ","hombre",204508.928571429
"387","renca ","sí","mapuche ","hombre",176160.642857143
"388","san joaquín ","sí","mapuche ","hombre",537359.090909091
"389","san miguel ","sí","mapuche ","hombre",175698
"390","san ramón ","sí","mapuche ","hombre",285701.25
"391","vitacura ","sí","mapuche ","hombre",2173805
"392","puente alto ","sí","mapuche ","hombre",272426.388888889
"393","pirque ","sí","mapuche ","hombre",551624.857142857
"394","san josé de maipo ","sí","mapuche ","hombre",286044.333333333
"395","colina ","sí","mapuche ","hombre",263905.333333333
"396","lampa ","sí","mapuche ","hombre",161509.666666667
"397","tiltil ","sí","mapuche ","hombre",201197
"398","san bernardo ","sí","mapuche ","hombre",292485.166666667
"399","buin ","sí","mapuche ","hombre",316097.833333333
"400","calera de tango ","sí","mapuche ","hombre",453433.625
"401","paine ","sí","mapuche ","hombre",239478.285714286
"402","melipilla ","sí","mapuche ","hombre",351060.5
"403","alhué ","sí","mapuche ","hombre",1550847.16666667
"404","curacaví ","sí","mapuche ","hombre",232240
"405","maría pinto ","sí","mapuche ","hombre",128570
"406","san pedro ","sí","mapuche ","hombre",314266
"407","talagante ","sí","mapuche ","hombre",318711.607142857
"408","el monte ","sí","mapuche ","hombre",151772.5
"409","isla de maipo ","sí","mapuche ","hombre",186974.4
"410","padre hurtado ","sí","mapuche ","hombre",280412.461538462
"411","peñaflor ","sí","mapuche ","hombre",346435.714285714
"412","tocopilla ","no","mapuche ","hombre",61930
"413","diego de almagro ","no","mapuche ","hombre",87204
"414","monte patria ","no","mapuche ","hombre",173316
"415","calle larga ","no","mapuche ","hombre",79946
"416","rinconada ","no","mapuche ","hombre",156045
"417","petorca ","no","mapuche ","hombre",151500
"418","limache ","no","mapuche ","hombre",256880
"419","cartagena ","no","mapuche ","hombre",50186
"420","olivar ","no","mapuche ","hombre",145414
"421","constitución ","no","mapuche ","hombre",309019
"422","curepto ","no","mapuche ","hombre",168120
"423","río claro ","no","mapuche ","hombre",101191
"424","curicó ","no","mapuche ","hombre",139942
"425","vichuquén ","no","mapuche ","hombre",103381
"426","linares ","no","mapuche ","hombre",47103
"427","retiro ","no","mapuche ","hombre",122284
"428","villa alegre ","no","mapuche ","hombre",112600
"429","yerbas buenas ","no","mapuche ","hombre",245378
"430","concepción ","no","mapuche ","hombre",88920
"431","santa juana ","no","mapuche ","hombre",137360
"432","tomé ","no","mapuche ","hombre",51503
"433","lebu ","no","mapuche ","hombre",81086.8333333333
"434","arauco ","no","mapuche ","hombre",NA
"435","cañete ","no","mapuche ","hombre",137617
"436","contulmo ","no","mapuche ","hombre",92481.5
"437","curanilahue ","no","mapuche ","hombre",81442
"438","los alamos ","no","mapuche ","hombre",136291
"439","tirúa ","no","mapuche ","hombre",130005.928571429
"440","los angeles ","no","mapuche ","hombre",67304
"441","antuco ","no","mapuche ","hombre",120723.5
"442","mulchén ","no","mapuche ","hombre",121200
"443","quilaco ","no","mapuche ","hombre",44186
"444","quilleco","no","mapuche ","hombre",60380
"445","santa bárbara ","no","mapuche ","hombre",139644
"446","tucapel","no","mapuche ","hombre",183453
"447","alto bío bío ","no","mapuche ","hombre",146704.470588235
"448","cobquecura ","no","mapuche ","hombre",137561
"449","san carlos ","no","mapuche ","hombre",137191
"450","san fabián ","no","mapuche ","hombre",53516
"451","san nicolás ","no","mapuche ","hombre",67680
"452","temuco ","no","mapuche ","hombre",89157.75
"453","carahue ","no","mapuche ","hombre",92673.5333333333
"454","cunco ","no","mapuche ","hombre",118217.75
"455","curarrehue ","no","mapuche ","hombre",99118.3571428571
"456","freire ","no","mapuche ","hombre",119847.578947368
"457","galvarino ","no","mapuche ","hombre",80686.4230769231
"458","gorbea ","no","mapuche ","hombre",120225
"459","lautaro ","no","mapuche ","hombre",112594.375
"460","loncoche ","no","mapuche ","hombre",116050.75
"461","melipeuco ","no","mapuche ","hombre",196014.666666667
"462","nueva imperial ","no","mapuche ","hombre",100526.142857143
"463","padre las casas ","no","mapuche ","hombre",136040.5
"464","perquenco ","no","mapuche ","hombre",166268.823529412
"465","pitrufquén ","no","mapuche ","hombre",88469.6666666667
"466","pucón ","no","mapuche ","hombre",70056
"467","saavedra ","no","mapuche ","hombre",112715.666666667
"468","teodoro schimdt ","no","mapuche ","hombre",185272.923076923
"469","toltén ","no","mapuche ","hombre",112123.111111111
"470","vilcún ","no","mapuche ","hombre",161694.666666667
"471","villarrica ","no","mapuche ","hombre",111864.363636364
"472","cholchol ","no","mapuche ","hombre",130299.428571429
"473","collipulli ","no","mapuche ","hombre",118138.272727273
"474","ercilla ","no","mapuche ","hombre",117877.928571429
"475","lonquimay ","no","mapuche ","hombre",107036.285714286
"476","los sauces ","no","mapuche ","hombre",87840.0526315789
"477","lumaco ","no","mapuche ","hombre",117540
"478","purén ","no","mapuche ","hombre",120741.857142857
"479","traiguén ","no","mapuche ","hombre",67111
"480","victoria ","no","mapuche ","hombre",71846
"481","puerto montt ","no","mapuche ","hombre",130616
"482","calbuco ","no","mapuche ","hombre",160174.2
"483","cochamó ","no","mapuche ","hombre",141400
"484","fresia ","no","mapuche ","hombre",141093.333333333
"485","frutillar ","no","mapuche ","hombre",251644
"486","los muermos ","no","mapuche ","hombre",48992
"487","llanquihue ","no","mapuche ","hombre",132407.333333333
"488","maullín ","no","mapuche ","hombre",56436
"489","puerto varas ","no","mapuche ","hombre",618661
"490","castro ","no","mapuche ","hombre",126215
"491","ancud ","no","mapuche ","hombre",141649.666666667
"492","chonchi ","no","mapuche ","hombre",81231.8
"493","puqueldón ","no","mapuche ","hombre",127806
"494","queilén ","no","mapuche ","hombre",103388
"495","quellón ","no","mapuche ","hombre",185663.4
"496","quemchi ","no","mapuche ","hombre",580825.5
"497","quinchao ","no","mapuche ","hombre",109801.8
"498","osorno ","no","mapuche ","hombre",137598
"499","puerto octay ","no","mapuche ","hombre",147296.777777778
"500","purranque ","no","mapuche ","hombre",91582
"501","puyehue ","no","mapuche ","hombre",108197
"502","río negro ","no","mapuche ","hombre",231110.571428571
"503","san juan de la costa ","no","mapuche ","hombre",157345.535714286
"504","san pablo ","no","mapuche ","hombre",90857.3333333333
"505","chaitén ","no","mapuche ","hombre",115000
"506","futaleufú ","no","mapuche ","hombre",58833
"507","hualaihué ","no","mapuche ","hombre",244797
"508","palena ","no","mapuche ","hombre",124175
"509","valdivia ","no","mapuche ","hombre",98800
"510","corral ","no","mapuche ","hombre",87977.3333333333
"511","futrono ","no","mapuche ","hombre",91316.4
"512","la unión ","no","mapuche ","hombre",52900.6666666667
"513","lago ranco ","no","mapuche ","hombre",97797.6923076923
"514","lanco ","no","mapuche ","hombre",146916
"515","los lagos ","no","mapuche ","hombre",66896
"516","máfil ","no","mapuche ","hombre",74334.4285714286
"517","mariquina ","no","mapuche ","hombre",82180.25
"518","paillaco ","no","mapuche ","hombre",103470
"519","panguipulli ","no","mapuche ","hombre",97219.1428571429
"520","río bueno ","no","mapuche ","hombre",189696
"521","coyhaique ","no","mapuche ","hombre",42713.5
"522","aisén ","no","mapuche ","hombre",44186
"523","cisnes ","no","mapuche ","hombre",72763
"524","cochrane ","no","mapuche ","hombre",141400
"525","chile chico ","no","mapuche ","hombre",385129.666666667
"526","río ibáñez ","no","mapuche ","hombre",256880
"527","punta arenas ","no","mapuche ","hombre",44186
"528","natales ","no","mapuche ","hombre",166125
